,index,BasePay,OvertimePay,OtherPay,TotalPay
0,1,155966.02,245131.88,137811.38,538909.28
1,2,212739.13,106088.18,16452.6,335279.91
2,8,176932.64,86362.68,40132.23,303427.55
3,10,194999.39,71344.88,33149.9,299494.17
4,14,174872.64,74050.3,37424.11,286347.05
5,15,198778.01,73478.2,13957.65,286213.86
6,17,140546.87,119397.26,18625.08,278569.21
7,18,168692.63,69626.12,38115.47,276434.22
8,22,140546.88,93200.58,39955.25,273702.71
9,23,168692.63,77896.14,24083.86,270672.63
10,24,140546.86,97868.77,31909.28,270324.91
11,27,168692.59,80706.88,16063.99,265463.46
12,34,177781.25,59924.97,20658.0,258364.22
13,37,110661.2,31162.04,111446.2,253269.44
14,38,132202.26,52648.92,67083.83,251935.01
15,39,147158.85,64985.85,39540.46,251685.16
16,40,168692.66,60847.56,21055.17,250595.39
17,41,168692.63,59760.9,21954.96,250408.49
18,43,123013.02,111729.65,15575.26,250317.93
19,46,168692.64,66199.23,14401.43,249293.3
20,49,137729.92,89856.01,20848.46,248434.39
21,50,168692.59,58084.86,20477.16,247254.61
22,52,140546.87,77937.25,26203.69,244687.81
23,53,140546.88,73207.61,28988.36,242742.85
24,54,140546.89,82428.76,18310.77,241286.42
25,58,115381.02,105028.94,19016.4,239426.36
26,60,123105.0,99584.94,16113.62,238803.56
27,62,140546.86,80411.9,17542.29,238501.05
28,63,168692.62,54342.28,15444.38,238479.28
29,64,148970.43,66977.63,21889.67,237837.73
30,65,185369.69,37873.61,14465.53,237708.83
31,66,177914.76,36644.57,22785.08,237344.41
32,67,139167.39,66596.28,31070.15,236833.82
33,69,115455.44,104632.95,14776.81,234865.2
34,74,130457.88,51864.26,50380.44,232702.58
35,78,140546.88,62283.7,28821.55,231652.13
36,79,168692.62,35096.74,27802.89,231592.25
37,81,122272.69,90593.53,18238.75,231104.97
38,82,168692.62,41158.72,21055.17,230906.51
39,85,122404.98,92767.41,15371.07,230543.46
40,86,150464.82,49813.69,30180.49,230459.0
41,89,138878.82,31843.34,59427.12,230149.28
42,90,188842.37,21453.59,18764.67,229060.63
43,92,149362.84,51847.45,27303.11,228513.4
44,94,168692.62,33191.6,25434.68,227318.9
45,97,168692.67,35402.71,22261.95,226357.33
46,98,122404.98,86719.38,15315.61,224439.97
47,100,168692.65,33656.87,21502.83,223852.35
48,101,123105.0,84547.16,16054.24,223706.4
49,105,110474.93,83670.04,27043.61,221188.58
50,106,149362.86,35003.5,36682.96,221049.32
51,118,150432.85,42365.89,25995.01,218793.75
52,120,140546.88,52095.06,25564.1,218206.04
53,122,122594.0,79721.87,15646.15,217962.02
54,127,168692.63,22432.91,25855.73,216981.27
55,128,140546.85,58354.29,17823.03,216724.17
56,129,123105.0,77259.53,16054.2,216418.73
57,131,141648.87,43574.57,30952.65,216176.09
58,134,166203.84,28448.6,20744.06,215396.5
59,135,123416.25,66447.73,25491.13,215355.11
60,141,123105.0,74266.87,17583.73,214955.6
61,145,140546.63,53209.03,20429.43,214185.09
62,153,140546.88,54054.41,18236.44,212837.73
63,157,182134.81,18574.4,11000.84,211710.05
64,161,122404.98,72836.43,15336.91,210578.32
65,164,116603.33,78532.26,14753.88,209889.47
66,169,130481.56,45597.19,33307.68,209386.43
67,170,123105.02,67899.46,18300.05,209304.53
68,171,130457.88,47342.41,31413.52,209213.81
69,173,135651.04,56307.38,17085.77,209044.19
70,175,133769.86,56093.64,18879.06,208742.56
71,178,122405.0,68861.18,17071.3,208337.48
72,181,140546.85,47122.83,20353.22,208022.9
73,190,130434.29,47465.62,29377.94,207277.85
74,192,130457.96,43329.66,33299.41,207087.03
75,193,140546.87,47465.92,18963.02,206975.81
76,202,127203.0,53146.41,25508.48,205857.89
77,207,124894.0,65886.39,14410.33,205190.72
78,208,130466.56,43708.28,30690.37,204865.21
79,210,149362.85,20253.61,34958.63,204575.09
80,215,122820.36,66083.91,15329.64,204233.91
81,218,122405.0,65829.32,15551.54,203785.86
82,222,111770.0,61316.86,30020.72,203107.58
83,226,122418.3,64862.06,15443.68,202724.04
84,232,139580.96,33418.92,29333.37,202333.25
85,233,123105.0,63856.44,15365.21,202326.65
86,234,123105.0,56654.78,22564.64,202324.42
87,235,110638.66,65587.13,26005.7,202231.49
88,237,122404.99,65069.19,14539.0,202013.18
89,241,127886.02,57579.25,16112.43,201577.7
90,259,140546.9,33196.91,26432.87,200176.68
91,260,140441.9,41438.62,18050.61,199931.13
92,267,123105.02,64525.66,11909.38,199540.06
93,268,123105.05,59699.72,16693.53,199498.3
94,271,112401.06,45977.26,40829.52,199207.84
95,280,122404.96,60981.91,14860.06,198246.93
96,285,149044.41,35620.45,13162.31,197827.17
97,288,128569.01,49853.04,19031.08,197453.13
98,289,130466.59,44651.56,22315.92,197434.07
99,290,130481.57,39489.61,27451.83,197423.01
100,295,113695.71,69419.29,14017.12,197132.12
101,308,112401.07,23572.29,60183.94,196157.3
102,309,123105.03,50298.75,22721.82,196125.6
103,311,123105.0,58270.63,14738.61,196114.24
104,314,140546.89,31841.33,23479.99,195868.21
105,318,140546.88,37549.62,17542.28,195638.78
106,324,123104.99,48977.36,23341.17,195423.52
107,329,137709.85,44327.76,13194.76,195232.37
108,332,126857.54,34841.75,33361.56,195060.85
